Seg	Seq#	Len
OBX	8	5
OM3	5	250
OM2	8	250
ABS	7	26
ABS	8	250
EDU	2	10
EDU	5	8
EDU	3	52
EDU	4	52
MSH	15	2
IPC	1	80
SAC	2	80
ACC	11	250
ACC	2	250
ACC	1	26
ACC	6	12
ACC	8	25
ACC	5	1
ACC	3	25
PV2	2	250
LCC	3	250
BLG	3	100
PV1	41	2
MSA	1	2
ORC	19	250
PRB	1	2
GOL	1	2
ROL	2	2
PTH	1	2
RXA	21	2
PRB	2	26
GOL	2	26
IAM	8	60
PCR	21	2
CER	25	26
LDP	7	26
STF	7	1
PRC	16	1
LDP	6	1
CDM	8	1
TXA	4	26
RXD	4	20
RXD	5	250
RXD	6	250
RXD	28	5
RXD	29	250
PV2	11	3
PRB	9	26
RXD	16	20
RXD	17	250
ADD	1	65536
STF	21	1
SAC	27	250
OM4	7	250
NK1	4	250
OM1	28	250
RXA	6	20
RXA	25	60
RXA	5	250
RXA	8	250
RXA	23	5
RXA	24	250
RXA	12	20
RXA	13	20
RXA	14	250
RXA	7	250
RXA	11	200
RXA	10	250
RXR	3	250
RXR	4	250
RXG	9	250
RXA	9	250
RXR	2	250
RXR	6	250
RXA	2	4
STF	5	1
NK1	15	1
PID	8	1
PV2	40	250
PV1	4	2
PV1	44	26
PV2	3	250
PV1	14	6
PV1	17	250
PD1	15	250
PV2	45	250
FT1	27	250
ORC	20	250
ORC	26	60
IAM	16	250
EQU	5	250
QRI	3	250
AL1	3	250
IAM	3	250
IAM	10	250
IAM	2	250
AL1	2	250
IAM	6	250
IAM	17	250
AL1	5	15
IAM	5	15
AL1	4	250
IAM	4	250
IAM	7	427
AIS	9	10
AIL	11	10
AIP	11	10
AIG	13	10
RXO	9	1
MSH	20	20
CSR	5	30
PID	4	20
CM0	3	60
CSR	2	60
PV1	50	250
GP2	7	250
IN2	32	2
NK1	18	2
GT1	34	2
PV1	15	2
TCD	8	250
PR1	9	2
PR1	10	4
PR1	8	250
RQ1	1	10
PRB	8	26
IN3	17	250
SID	1	250
MSH	16	2
NSC	1	4
NST	15	10
ERR	5	705
ERR	6	80
ARQ	9	20
SCH	9	20
ARQ	10	250
SCH	10	250
SCH	7	250
ARQ	7	250
SCH	11	200
SCH	8	250
ARQ	8	250
SAC	42	250
TXA	10	250
FT1	16	80
PV1	3	80
IN1	20	2
OBR	33	200
PR1	15	250
PV1	7	250
DG1	19	26
ABS	5	250
TXA	22	250
CER	16	250
AUT	4	26
AUT	5	26
AUT	6	30
IN1	14	239
AUT	9	2
AUT	2	250
AUT	3	45
AUT	1	250
ACC	4	250
STF	24	8
TCD	2	20
TCC	4	20
TCC	11	1
TCD	6	1
TCC	10	1
TCC	9	1
PDA	6	1
PDA	8	250
PDA	7	53
INV	9	20
SAC	22	20
IN2	19	1
PV2	37	1
STF	14	250
PV1	31	10
PV1	33	12
PV1	32	12
SAC	18	20
CER	17	250
BHS	10	80
BTS	2	80
BHS	11	20
BHS	7	26
BHS	2	3
BHS	1	1
BTS	1	10
BHS	9	20
BHS	5	227
BHS	6	227
BHS	8	40
BHS	3	227
BHS	4	227
BTS	3	100
BTX	4	250
BPX	6	250
BTX	3	250
BTX	2	22
BPX	5	22
BPX	7	250
BPX	12	250
NPU	1	80
PV1	40	1
NPU	2	1
PRC	14	250
PV2	32	1
IN1	32	2
PID	25	2
PID	23	250
BLC	2	267
IN2	21	1
UB1	2	1
UB1	3	2
UB1	5	2
BLC	1	250
UB1	4	2
ORG	11	1
SAC	19	20
BPO	3	250
BPX	19	250
BPX	18	80
BTX	14	250
BTX	18	250
BPO	5	5
BPX	15	5
BTX	9	5
BPX	11	250
BTX	13	26
BPX	4	26
BPX	2	250
BPX	20	250
BPX	21	250
BPX	13	26
BPO	13	250
BPO	14	1
BPO	9	250
BPO	8	80
BPO	7	26
BTX	12	1
BPX	14	5
BTX	8	5
BPO	4	5
BPO	10	26
BPO	12	250
BPO	11	80
BPX	3	1
BTX	17	26
BTX	19	250
BTX	16	26
BTX	11	250
BPX	17	22
BPO	6	250
BTX	10	250
BPX	16	250
BPO	2	250
BTX	15	250
PDC	3	60
PID	36	250
ACC	9	80
NK1	6	250
OVR	2	705
OVR	1	705
ABS	10	1
ORC	14	250
QRI	1	10
SAC	26	250
SAC	10	80
SAC	9	250
ABS	9	250
IN3	21	48
PDC	7	60
OM7	4	200
OM7	3	250
OM7	5	200
PEO	18	250
PRB	19	250
CER	11	250
CER	31	250
CER	10	250
IN3	18	250
IN3	19	250
IN3	9	8
IN3	15	48
IN3	16	250
IN3	6	26
IN3	10	8
IN3	7	26
IN3	2	250
IN3	4	1
IN3	3	250
CM0	5	250
OM1	44	200
PTH	6	26
MSH	18	16
GP2	3	12
LCC	4	250
CDM	2	250
CDM	4	250
CDM	3	20
PRC	18	1
PV1	21	2
OBR	23	40
BLG	2	50
BLG	4	60
PRC	15	1
NST	10	10
STF	30	250
NK1	19	250
PID	26	250
GT1	35	250
IN2	33	250
PV2	23	250
IN2	72	250
OM1	14	250
UB1	6	2
UB2	2	3
OBR	9	20
OBR	10	250
OBR	39	250
RDF	2	40
RDT	1	99999
IN2	20	1
ECR	1	250
ECR	3	65536
NTE	3	65536
NTE	4	250
IN1	35	8
RXA	20	2
RXC	3	20
RXC	2	250
RXC	8	5
RXC	9	250
RXC	5	20
RXC	6	250
RXC	4	250
UB2	3	2
UB1	7	14
TQ1	10	250
DG1	18	1
DRG	10	1
ORC	28	250
OM1	30	250
PEO	23	1
TQ1	12	10
NST	13	10
CON	7	65536
CON	20	250
PR1	13	250
CON	13	26
CON	21	1
CON	12	26
CON	14	26
OM7	14	26
OM7	13	26
CON	15	26
CON	3	40
CON	4	180
OM7	12	250
OM7	11	1
OM7	15	5
OM7	16	250
CON	10	2
CON	22	250
CON	11	2
CON	5	65536
CON	2	250
OM7	17	5
OM7	18	250
CON	24	250
CON	9	65536
PV1	9	250
INV	10	20
CTD	3	250
FAC	7	250
CTD	5	250
CM0	9	250
CTD	7	100
CTD	4	60
CTD	2	250
FAC	5	250
NK1	37	16
NK1	32	250
NK1	30	250
GT1	45	250
GT1	46	250
NK1	31	250
LDP	11	250
GT1	47	250
NK1	29	250
GT1	48	3
CTD	1	250
NK1	7	250
FAC	8	250
FAC	6	60
CM0	11	250
CM0	10	250
INV	5	250
SPM	28	250
OM4	3	60
SAC	17	20
SAC	16	20
SAC	20	250
SAC	3	80
SAC	8	250
SPM	27	250
OM4	5	250
SAC	21	20
OM4	4	20
MSH	14	180
DSC	1	180
DSC	2	1
PV1	26	12
PV1	24	2
PV1	25	8
CDM	11	250
CDM	12	250
PV1	27	3
OM1	33	250
RXE	35	60
IN1	22	2
IN1	21	2
GP2	13	12
IN2	67	1
STF	23	1
PDA	9	1
OM2	4	250
PRC	17	12
STF	36	250
PDC	2	250
MSH	17	3
PID	12	4
PV1	22	2
IN1	47	3
UB1	8	3
UB2	4	3
BPX	8	250
BTX	5	250
BTX	7	22
BPX	10	22
BPX	9	250
BTX	6	250
PV1	23	2
OM2	7	205
OM3	6	250
CER	18	250
NSC	4	30
NSC	2	30
NSC	5	30
NSC	3	30
GOL	12	26
GOL	11	250
PV1	46	12
INV	8	20
TQ2	7	1
TQ2	9	10
RXE	18	26
IN2	30	25
OBR	12	250
DSP	3	300
PRA	8	8
PDC	14	26
STF	25	8
PDC	15	26
PRA	10	8
