Type	Table	Name	Value	Description
User		Administrative Sex		
	0001		A	Ambiguous
	0001		F	Female
	0001		M	Male
	0001		N	Not applicable
	0001		O	Other
	0001		U	Unknown
User		Marital Status		
	0002		A	Separated
	0002		B	Unmarried
	0002		C	Common law
	0002		D	Divorced
	0002		E	Legally Separated
	0002		G	Living together
	0002		I	Interlocutory
	0002		M	Married
	0002		N	Annulled
	0002		O	Other
	0002		P	Domestic partner
	0002		R	Registered domestic partner
	0002		S	Single
	0002		T	Unreported
	0002		U	Unknown
	0002		W	Widowed
HL7		Event type		
	0003		A01	ADT/ACK - Admit/visit notification
	0003		A02	ADT/ACK - Transfer a patient
	0003		A03	ADT/ACK -  Discharge/end visit
	0003		A04	ADT/ACK -  Register a patient
	0003		A05	ADT/ACK -  Pre-admit a patient
	0003		A06	ADT/ACK -  Change an outpatient to an inpatient
	0003		A07	ADT/ACK -  Change an inpatient to an outpatient
	0003		A08	ADT/ACK -  Update patient information
	0003		A09	ADT/ACK -  Patient departing - tracking
	0003		A10	ADT/ACK -  Patient arriving - tracking
	0003		A11	ADT/ACK -  Cancel admit/visit notification
	0003		A12	ADT/ACK -  Cancel transfer
	0003		A13	ADT/ACK -  Cancel discharge/end visit
	0003		A14	ADT/ACK -  Pending admit
	0003		A15	ADT/ACK -  Pending transfer
	0003		A16	ADT/ACK -  Pending discharge
	0003		A17	ADT/ACK -  Swap patients
	0003		A18	ADT/ACK -  Merge patient information (for backward compatibility only)
	0003		A19	QRY/ADR -  Patient query
	0003		A20	ADT/ACK -  Bed status update
	0003		A21	ADT/ACK -  Patient goes on a _leave of absence_
	0003		A22	ADT/ACK -  Patient returns from a _leave of absence_
	0003		A23	ADT/ACK -  Delete a patient record
	0003		A24	ADT/ACK -  Link patient information
	0003		A25	ADT/ACK -  Cancel pending discharge
	0003		A26	ADT/ACK -  Cancel pending transfer
	0003		A27	ADT/ACK -  Cancel pending admit
	0003		A28	ADT/ACK -  Add person information
	0003		A29	ADT/ACK -  Delete person information
	0003		A30	ADT/ACK -  Merge person information (for backward compatibility only)
	0003		A31	ADT/ACK -  Update person information
	0003		A32	ADT/ACK -  Cancel patient arriving - tracking
	0003		A33	ADT/ACK -  Cancel patient departing - tracking
	0003		A34	ADT/ACK -  Merge patient information - patient ID only (for backward compatibility only)
	0003		A35	ADT/ACK -  Merge patient information - account number only (for backward compatibility only)
	0003		A36	ADT/ACK -  Merge patient information - patient ID and account number (for backward compatibility only)
	0003		A37	ADT/ACK -  Unlink patient information
	0003		A38	ADT/ACK - Cancel pre-admit
	0003		A39	ADT/ACK - Merge person _ patient ID (for backward compatibility only)
	0003		A40	ADT/ACK - Merge patient _ patient identifier list
	0003		A41	ADT/ACK - Merge account - patient account number
	0003		A42	ADT/ACK - Merge visit - visit number
	0003		A43	ADT/ACK - Move patient information _ patient identifier list
	0003		A44	ADT/ACK - Move account information - patient account number
	0003		A45	ADT/ACK - Move visit information - visit number
	0003		A46	ADT/ACK - Change patient ID (for backward compatibility only)
	0003		A47	ADT/ACK - Change patient identifier list
	0003		A48	ADT/ACK - Change alternate patient ID (for backward compatibility only)
	0003		A49	ADT/ACK - Change patient account number
	0003		A50	ADT/ACK - Change visit number
	0003		A51	ADT/ACK - Change alternate visit ID
	0003		A52	ADT/ACK _ Cancel leave of absence for a patient
	0003		A53	ADT/ACK _ Cancel patient returns from a leave of absence
	0003		A54	ADT/ACK - Change attending doctor
	0003		A55	ADT/ACK _ Cancel change attending doctor
	0003		A60	ADT/ACK _ Update allergy information
	0003		A61	ADT/ACK _ Change consulting doctor
	0003		A62	ADT/ACK _ Cancel change consulting doctor
	0003		B01	PMU/ACK _ Add personnel record
	0003		B02	PMU/ACK _ Update personnel record
	0003		B03	PMU/ACK _ Delete personnel re cord
	0003		B04	PMU/ACK _ Active practicing person
	0003		B05	PMU/ACK _ Deactivate practicing person
	0003		B06	PMU/ACK _ Terminate practicing person
	0003		B07	PMU/ACK _ Grant Certificate/Permission
	0003		B08	PMU/ACK _ Revoke Certificate/Permission
	0003		C01	CRM - Register a patient on a clinical trial
	0003		C02	CRM - Cancel a patient registration on clinical trial (for clerical mistakes only)
	0003		C03	CRM - Correct/update registration information
	0003		C04	CRM - Patient has gone off a clinical trial
	0003		C05	CRM - Patient enters phase of clinical trial
	0003		C06	CRM - Cancel patient entering a phase (clerical mistake)
	0003		C07	CRM - Correct/update phase information
	0003		C08	CRM - Patient has gone off phase of clinical trial
	0003		C09	CSU - Automated time intervals for reporting, like monthly
	0003		C10	CSU - Patient completes the clinical trial
	0003		C11	CSU - Patient completes a phase of the clinical trial
	0003		C12	CSU - Update/correction of patient order/result information
	0003		CNQ	Cancel Query
